episode,alpha=0.0005,alpha=0.001,alpha=0.0001
265,132.894221,103.873723,-80.799327
266,133.358225,106.231789,-79.894834
267,134.162529,108.705283,-80.469224
268,134.280588,108.76029,-80.170409
269,135.106296,111.47235,-80.021636
270,134.822799,112.126048,-79.527714
271,134.571868,114.493247,-79.505158
272,134.698303,116.840127,-80.097401
273,134.454672,119.408723,-79.49601
274,134.90609,122.28491,-79.295935
275,135.089556,124.926259,-79.618643
276,135.091387,127.430731,-80.148064
277,135.26751,129.770286,-81.094856
278,137.43706,131.249602,-81.765717
279,137.182724,131.424073,-81.965939
280,135.689102,131.142048,-82.050887
281,136.266119,131.090873,-82.967994
282,136.208974,133.277919,-82.297072
283,136.460044,135.138904,-79.714168
284,136.702038,137.632539,-79.929333
285,136.621484,137.835447,-79.006496
286,136.862379,140.228463,-81.494287
287,138.908373,139.72463,-79.605379
288,139.040882,139.852646,-79.442317
289,141.095997,140.090061,-77.198239
290,138.891656,140.364817,-77.12182
291,139.1074,139.956687,-77.81487
292,139.26377,139.598602,-77.57702
293,137.417353,140.426996,-78.33856
294,137.95366,141.086355,-78.780074
295,140.274509,141.106428,-79.307383
296,140.576586,141.637091,-79.39101
297,141.254515,143.749627,-78.787885
298,141.560209,144.635019,-79.33987
299,142.42614,145.059644,-79.652205
300,142.893594,145.43523,-79.44154
301,140.757258,145.508134,-80.589516
302,140.390322,147.859641,-80.398901
303,140.725458,149.120408,-79.730401
304,140.95112,149.32976,-82.254821
305,140.793579,149.858943,-82.864099
306,140.304725,150.087301,-82.551948
307,142.347915,150.10304,-82.178884
308,142.526022,150.984071,-80.023604
309,143.284145,150.782203,-80.268284
310,145.457957,150.92548,-79.875485
311,147.371228,150.983088,-77.292684
312,150.339942,153.117829,-76.983672
313,150.464377,153.747523,-74.757881
314,152.410265,155.378363,-74.123295
315,152.504593,155.200685,-71.09053
316,154.581212,155.670195,-68.462901
317,154.254668,155.227872,-69.426396
318,156.64633,155.689354,-67.095728
319,158.705037,154.848284,-68.326839
320,161.312686,155.09667,-66.37623
321,161.394819,154.396999,-64.180445
322,161.535493,153.984177,-61.847959
323,163.966129,151.966151,-61.392362
324,163.885771,152.321993,-61.709628
325,164.112107,152.404438,-59.733252
326,166.326801,155.071056,-61.043735
327,168.165975,157.558162,-61.582767
328,170.846595,157.638775,-61.994143
329,173.091037,158.772953,-59.553568
330,173.311272,161.539309,-57.136626
331,173.578779,161.934282,-57.470588
332,173.27867,164.501208,-57.178454
333,173.343282,164.377366,-57.170169
334,173.366801,164.868438,-57.120432
335,175.531873,164.835593,-55.878762
336,175.338581,164.536862,-56.207529
337,172.716997,166.521538,-56.717874
338,172.922364,166.628601,-54.22981
339,172.011951,169.298202,-54.570056
340,171.675535,169.384503,-55.157509
341,172.056586,169.292854,-55.067761
342,169.34263,169.755884,-52.955969
343,169.445498,170.537057,-52.921661
344,167.03363,170.239053,-52.452621
345,165.13008,170.727548,-53.304025
346,165.318455,170.340024,-48.660308
347,165.540721,172.386802,-49.064255
348,165.082513,172.812877,-47.277574
349,163.594549,172.062216,-46.581544
350,163.823426,172.957316,-46.564696
351,163.108795,173.917609,-45.104496
352,164.063153,174.526437,-41.357301
353,163.616992,179.462391,-41.612708
354,162.996631,180.411047,-39.439467
355,163.206764,181.561754,-39.216446
356,162.980057,179.89017,-37.889422
357,163.060001,180.710251,-38.567356
358,162.75153,181.591122,-38.202626
359,162.855068,182.401329,-38.024247
360,157.985456,182.77941,-37.798281
361,158.530344,182.966957,-37.856522
362,157.970525,185.657101,-37.232064
363,157.817763,185.745695,-37.123301
364,157.737832,186.302943,-34.265837
365,159.99879,186.934093,-32.562105
366,159.943826,189.066014,-32.561777
367,159.687212,189.673355,-32.668459
368,159.674206,189.603224,-32.540531
369,159.802378,189.461649,-30.502771
370,159.378946,189.812869,-30.230397
371,157.755276,189.437545,-28.787777
372,157.652868,189.793936,-28.48316
373,157.47252,190.355326,-27.742149
374,153.41677,190.536453,-27.98607
375,153.551961,190.663373,-28.030066
376,149.067375,190.830881,-26.590088
377,146.256201,191.356373,-27.233712
378,146.399753,190.815229,-24.866377
379,146.433018,191.698759,-24.342209
380,146.844593,191.496928,-21.637887
381,148.258836,191.953999,-22.468877
382,148.034996,191.802883,-22.62237
383,146.325602,191.730902,-19.96628
384,146.457333,192.134632,-22.955022
385,148.539134,191.59904,-21.320105
386,148.704541,191.826128,-19.837862
387,148.626375,191.861338,-19.930516
388,148.857038,192.115959,-22.831453
389,150.697758,191.919113,-21.75477
390,150.79924,191.908899,-18.867977
391,153.048151,192.139294,-17.205131
392,153.326152,193.165385,-14.70514
393,152.99619,193.369248,-15.319209
394,154.628386,192.862138,-13.830458
395,154.221068,192.980892,-17.047486
396,150.127502,193.114202,-15.66489
397,150.06189,192.387844,-13.855271
398,149.950165,190.030194,-12.112092
399,150.243938,189.89904,-12.708341
400,148.302706,189.928411,-12.941105
401,148.376243,189.744845,-10.624091
402,150.735548,189.32287,-8.310969
403,147.660087,189.173994,-8.652786
404,147.963104,187.831969,-9.629712
405,148.050417,188.327274,-7.765101
406,148.16393,186.834436,-7.410028
407,148.519967,186.602831,-5.473528
408,148.582394,186.109456,-3.152318
409,150.816823,186.057197,-4.978323
410,150.499014,183.189103,-7.569589
411,149.65815,183.086405,-7.807326
412,150.11878,183.095304,-7.895431
413,149.712621,180.815489,-8.04914
414,151.710101,180.906461,-10.006117
415,151.866286,181.088364,-10.192012
416,150.769476,181.244206,-10.174782
417,151.070475,178.767704,-12.628612
418,151.83088,176.088608,-11.558343
419,151.818954,173.473841,-13.840353
420,149.966833,170.655631,-9.916859
421,149.649322,171.008666,-12.256364
422,147.663712,168.562661,-14.414557
423,147.811843,168.29328,-16.986187
424,147.51993,169.965731,-17.209334
425,149.841534,167.598917,-14.076205
426,150.119358,166.990957,-13.333604
427,150.324742,166.012676,-9.771412
428,149.833098,165.49775,-8.953572
429,145.785566,163.406707,-8.754025
430,145.114505,163.261635,-10.583609
431,145.278259,162.773622,-13.180242
432,145.346242,162.805449,-10.02511
433,141.605869,162.238169,-7.95953
434,137.856434,162.775492,-8.01501
435,136.746569,161.384824,-4.957068
436,136.441244,160.763558,-5.970855
437,133.136541,160.529462,-5.365289
438,135.978814,160.158033,-4.72392
439,135.713519,160.424491,-6.683359
440,133.413967,157.817597,-4.000981
441,133.610117,158.128273,-2.735523
442,133.524509,157.682225,-2.469676
443,136.423879,157.148537,-0.326928
444,136.395693,156.901399,-0.23365
445,138.933909,157.223456,-0.643429
446,141.119144,157.517224,2.491603
447,141.453939,157.998506,2.87358
448,141.483539,158.639695,6.077906
449,142.136188,158.293326,4.101324
450,143.427502,159.181021,6.351703
451,143.099064,159.314506,8.77316
452,143.750609,159.100283,7.672151
453,144.010837,158.301998,8.283658
454,144.632882,158.056337,11.404304
455,145.550571,157.996614,11.471113
456,145.446259,158.058419,11.119147
457,145.815223,159.85159,13.52972
458,146.040955,159.514025,16.977881
459,146.439628,159.404016,17.183394
460,146.279723,159.118581,19.460505
461,150.574294,158.999032,19.58837
462,148.553336,158.571657,18.959727
463,149.608607,158.37449,21.050742
464,149.598571,158.143411,23.202173
465,149.328025,157.723017,19.260956
466,146.885837,157.274394,19.980938
467,144.701552,157.026904,21.572575
468,145.151054,157.080648,21.491911
469,144.864127,156.965882,22.060936
470,144.216761,157.037422,22.360553
471,144.853059,156.678404,24.601423
472,146.45382,156.565542,25.535235
473,144.564319,156.495748,27.46809
474,144.549782,156.174016,29.457411
475,148.953785,156.080699,31.057599
476,149.046656,156.02254,30.184312
477,153.632025,155.991554,28.190358
478,155.958034,155.892209,31.251026
479,156.296879,156.043331,32.201984
480,155.743456,155.967365,33.639922
481,155.635743,155.780394,30.066224
482,156.378468,155.658384,33.183021
483,156.283114,155.297758,32.475384
484,158.140625,155.134675,29.057082
485,155.988284,155.12241,31.609795
486,155.480101,155.342699,29.108738
487,155.064757,155.066451,26.223489
488,152.677811,155.376846,28.047615
489,152.895478,155.193124,31.172721
490,152.986517,155.252915,28.942038
491,150.659679,155.933121,24.92956
492,148.711099,156.150957,21.676657
493,146.05244,154.528397,18.873773
494,146.245855,154.974417,18.026109
495,146.035103,154.881209,19.056324
496,146.565995,154.741882,20.10579
497,148.261345,154.701792,18.982974
498,146.032853,155.036022,16.396406
499,143.885769,156.85008,15.852565
500,143.948268,156.785381,14.954597
501,145.994662,157.063012,14.525435
502,145.872367,157.36173,11.089645
503,145.750942,157.835632,8.938487
504,146.6061,158.065308,8.137427
505,146.123512,159.461863,8.169788
506,143.790756,159.330459,8.261634
507,141.640598,160.5935,7.141719
508,141.672873,159.140593,6.958059
509,140.385593,159.903635,6.159658
510,140.16076,159.870384,4.4947
511,140.43169,162.638593,3.642978
512,141.173008,162.763548,1.246729
513,139.380915,162.88412,-1.576051
514,139.731665,165.659045,-1.912175
515,139.575773,165.905062,-2.467641
516,137.141604,166.336272,-2.883477
517,136.309196,166.119631,-5.828667
518,132.986454,168.481634,-6.58046
519,133.99427,170.685082,-7.122327
520,132.183538,173.646433,-7.693081
521,131.236588,176.509103,-10.615437
522,131.577714,176.080162,-11.102768
523,131.499985,179.529504,-11.777806
524,131.270367,180.589476,-12.308298
525,131.537264,180.963934,-13.069508
526,130.6467,183.611506,-15.724409
527,130.757225,184.674155,-18.505787
528,130.685556,185.567069,-21.951302
529,129.594976,186.180013,-22.522917
530,133.701676,188.741761,-23.32718
531,134.730805,188.031789,-23.913581
532,134.038173,186.709847,-24.440665
533,133.655829,185.376118,-27.710713
534,135.345677,185.311158,-30.534807
535,138.911692,184.661019,-31.10352
536,140.160433,185.568374,-34.514475
537,140.066347,185.580058,-35.645619
538,141.385719,185.875733,-35.71668
539,141.508271,185.883008,-36.577348
540,141.344387,185.385485,-37.472366
541,142.608719,188.018145,-40.322976
542,142.177731,188.00216,-40.741974
543,139.485667,188.81507,-40.744796
544,139.080151,189.842397,-42.935483
545,139.078293,189.85243,-42.760976
546,139.077724,189.774315,-42.477655
547,136.483992,189.599204,-44.574938
548,136.00897,190.161435,-47.119051
549,135.752014,189.91182,-49.936797
550,135.015879,188.887083,-49.961947
551,132.300843,188.648261,-52.660094
552,130.361344,187.52339,-54.618304
553,130.286005,187.310679,-53.327283
554,129.697408,187.955454,-54.988702
555,129.502169,187.816619,-56.034561
556,126.664084,187.835265,-56.794779
557,126.916428,187.69092,-56.164767
558,126.181796,187.742041,-57.193824
559,125.680414,187.723367,-58.817382
560,125.017486,187.728793,-56.920022
561,122.316976,187.399297,-59.470867
562,120.202429,187.367607,-57.736808
563,122.179111,187.750271,-55.291776
564,119.075449,187.495797,-56.592478
565,118.469952,187.559234,-57.763857
566,118.170006,188.168885,-54.584907
567,118.431203,187.910357,-58.166158
568,119.515631,188.499633,-58.641978
569,116.398733,188.641093,-57.280508
570,116.65015,188.739133,-55.65999
571,114.401138,187.048347,-56.531605
572,112.034141,187.380156,-56.768117
573,112.040068,187.16245,-57.600861
574,114.026567,187.255952,-58.214907
575,113.92388,187.172279,-59.365387
576,110.422989,186.92879,-62.191512
577,110.278354,186.93036,-62.331824
578,110.016888,186.846153,-58.889237
579,109.949118,187.157174,-60.252852
580,106.745576,187.677078,-63.364346
581,103.97264,187.863364,-63.440918
582,101.820147,188.122143,-62.909471
583,101.146573,187.892119,-63.562294
584,101.345188,188.334993,-62.7501
585,100.611848,188.939816,-59.816356
586,100.961654,188.868488,-60.254933
587,101.655937,188.860449,-59.359609
588,101.739864,189.151784,-56.649137
589,101.485369,189.473862,-57.449312
590,100.595959,189.742546,-57.728529
591,98.271389,189.763295,-57.776613
592,100.011567,189.632483,-54.48925
593,102.033396,189.387051,-51.837385
594,104.027716,190.258274,-49.171045
595,103.429451,189.538814,-47.461706
596,103.596899,189.986286,-49.846007
597,103.273575,190.286118,-48.331091
598,102.961987,190.06386,-46.339093
599,104.975805,190.06271,-43.814889
600,106.986479,190.228611,-45.777617
601,106.854354,189.763483,-44.793317
602,106.206782,189.398259,-42.633091
603,103.118623,189.132952,-41.242124
604,102.787536,188.626815,-39.333438
605,105.199234,188.817356,-37.141708
606,103.214432,188.281115,-34.910495
607,104.852909,188.370639,-35.599282
608,107.237465,188.365377,-33.213163
609,107.208211,189.958608,-33.805821
610,108.532501,189.480181,-33.777386
611,108.831421,189.198326,-31.90492
612,107.90618,189.16016,-30.533893
613,108.228698,188.954613,-26.954639
614,108.775067,188.801083,-27.413057
615,108.635548,188.736979,-26.838223
616,109.091749,188.716188,-25.98872
617,110.905258,188.638846,-25.587842
618,112.268555,189.121256,-25.279903
619,115.549866,189.854974,-24.411952
620,112.948205,190.226068,-23.661163
621,112.769713,189.953285,-22.346661
622,115.567561,190.738156,-21.442412
623,112.33096,190.751486,-21.159098
624,112.297844,190.752984,-20.61176
625,112.090029,190.594468,-19.873404
626,108.415577,190.53294,-19.564741
627,106.652576,190.405435,-19.730895
628,103.848676,189.880359,-19.459583
629,100.250777,189.557315,-18.493277
630,101.457503,189.891184,-17.911523
631,101.025626,189.553628,-17.217281
632,97.269825,189.846886,-16.995265
633,94.062226,190.952067,-16.05478
634,90.99428,192.326134,-13.406861
635,90.789052,192.653961,-12.466031
636,90.939443,192.670636,-12.045786
637,90.956028,192.69865,-11.925728
638,87.814517,193.315872,-10.522618
639,88.02046,193.866452,-10.660177
640,83.897017,193.85133,-8.256725
641,80.808312,191.952214,-8.666227
642,82.876075,192.014668,-6.018197
643,78.876615,191.296494,-4.541696
644,78.003034,190.757364,-2.87739
645,76.065868,190.20202,-3.047803
646,76.250125,190.397427,-1.629256
647,76.89743,190.076114,-0.173202
648,76.090153,189.601487,0.735571
649,73.866334,188.975166,1.404577
650,73.89432,188.59124,1.216459
651,70.920195,189.65335,2.933992
652,70.460082,187.679099,3.449135
653,72.523499,188.327716,5.345346
654,70.247421,188.210603,5.465653
655,68.7146,188.008188,6.076612
656,68.534284,187.874857,6.664384
657,68.087616,187.821281,7.722646
658,67.837142,187.877301,8.577039
659,65.130863,187.520923,7.939465
660,62.277835,187.149588,6.381013
661,59.156888,186.756746,5.423678
662,61.374299,187.19068,4.893664
663,63.6477,187.039455,4.873226
664,60.646537,187.086232,3.605868
665,63.570588,187.073921,4.727545
666,61.028571,186.903925,3.656234
667,59.088978,186.746558,2.241426
668,60.696764,186.860446,5.188117
669,62.149925,186.091511,5.682604
670,64.898753,185.897736,5.944854
671,64.35576,185.677726,5.749299
672,66.772338,186.952255,4.419257
673,68.340709,186.908958,4.60536
674,65.121992,187.315424,3.017765
675,65.358278,186.996891,3.700001
676,65.78515,187.119499,4.688598
677,68.469709,185.199336,7.765718
678,65.362138,184.989341,11.313739
679,65.036699,185.127247,9.936794
680,62.65298,184.599747,11.535523
681,65.478315,184.559493,14.171191
682,68.288809,184.642193,14.174699
683,70.14667,183.960758,16.354626
684,70.084517,184.525157,16.885403
685,70.040947,184.704156,19.101601
686,69.517287,184.077082,19.186121
687,71.193545,184.197919,19.838451
688,70.810074,184.07183,21.543789
689,70.784477,183.891939,21.091145
690,70.553619,183.230681,22.296049
691,71.217016,182.977895,20.269347
692,72.637957,182.454054,22.782365
693,73.228067,181.924083,22.78124
694,73.229472,181.792366,23.959252
695,73.364075,182.181005,23.979941
696,73.489425,182.712522,23.871116
697,73.960064,182.150132,26.646253
698,73.574915,181.687345,27.371562
699,75.328719,181.741557,27.426856
700,75.606839,181.258892,28.000572
701,73.212743,181.525177,30.477766
702,73.137971,181.464181,33.183685
703,74.326003,181.939328,33.856801
704,77.240635,181.863684,36.206642
705,77.100078,181.870206,37.485661
706,76.916456,181.47537,38.335536
707,76.90742,181.590477,39.101721
708,75.035779,181.309713,39.630859
709,74.941514,180.583843,40.592289
710,75.144577,180.347702,41.355743
711,74.471128,180.280371,42.002884
712,74.324026,180.017267,43.208999
713,74.911806,179.705149,45.158489
714,74.626373,179.46168,45.892494
715,75.909107,179.486601,49.405182
716,75.2527,179.69714,51.572852
717,74.640001,179.590009,53.403191
718,75.181794,179.286517,55.450558
719,75.347046,179.092001,57.717775
720,73.181882,178.964181,59.887659
721,76.272069,178.99599,62.102217
722,78.187463,178.699473,61.071953
723,76.34782,178.229825,63.30928
724,79.57345,178.816464,65.910423
725,81.598447,178.676922,68.362952
726,81.797136,178.547614,71.050153
727,85.656716,178.920468,73.969095
728,88.49339,179.159123,76.342691
729,91.17134,179.534642,78.516159
730,92.78431,179.7434,80.333454
731,93.33375,179.721463,82.141328
732,93.309776,179.952306,84.179331
733,96.939116,180.484239,86.519967
734,100.359571,180.815943,88.495139
735,103.800917,180.975968,88.239344
736,105.686829,181.473384,89.984138
737,104.552309,182.145213,92.530721
738,103.353629,182.663916,94.946054
739,103.652909,182.721904,96.30722
740,103.965478,182.953635,98.025642
741,105.50703,182.583382,98.275522
742,108.90693,184.830718,101.684199
743,108.946207,184.439405,99.466703
744,110.805914,184.984996,97.496876
745,112.56339,185.277198,98.088597
746,114.678139,185.583453,100.596624
747,111.389198,185.477096,101.465196
748,111.209273,185.66881,102.539605
749,111.863815,185.609647,103.452236
750,113.926035,185.682367,105.289444
751,113.602476,185.780781,107.687892
752,116.106695,185.145613,108.154225
753,119.173597,186.549699,109.887966
754,116.45748,186.582256,110.243208
