episode,gamma=0.99,gamma=0.8,gamma=0.5
400,148.302706,-45.044165,-49.41491
401,148.376243,-45.142131,-49.545668
402,150.735548,-45.229759,-53.845191
403,147.660087,-43.200535,-54.346559
404,147.963104,-43.662681,-50.572206
405,148.050417,-40.512499,-47.119575
406,148.16393,-37.972653,-47.012982
407,148.519967,-40.748287,-47.181768
408,148.582394,-43.333095,-51.153267
409,150.816823,-42.33191,-51.027455
410,150.499014,-45.303458,-50.931372
411,149.65815,-45.243945,-49.193797
412,150.11878,-45.119381,-48.734426
413,149.712621,-44.941656,-49.706638
414,151.710101,-47.582814,-49.71215
415,151.866286,-48.041732,-47.801587
416,150.769476,-49.197455,-49.823879
417,151.070475,-49.32326,-51.174275
418,151.83088,-51.976198,-50.866019
419,151.818954,-55.622709,-46.846379
420,149.966833,-58.848608,-43.09631
421,149.649322,-60.190911,-43.119448
422,147.663712,-59.298991,-42.645629
423,147.811843,-59.457681,-42.254835
424,147.51993,-62.465009,-42.542914
425,149.841534,-60.030299,-42.548977
426,150.119358,-60.209566,-40.569254
427,150.324742,-60.584513,-40.93576
428,149.833098,-63.671397,-39.562786
429,145.785566,-63.162164,-35.767237
430,145.114505,-63.644673,-39.778586
431,145.278259,-63.538631,-35.761282
432,145.346242,-66.153555,-39.859641
433,141.605869,-65.918702,-42.138069
434,137.856434,-68.52397,-42.496597
435,136.746569,-68.231785,-40.597566
436,136.441244,-67.275333,-42.869369
437,133.136541,-64.05746,-41.177732
438,135.978814,-65.099331,-38.974474
439,135.713519,-65.03068,-38.836672
440,133.413967,-67.367405,-38.053518
441,133.610117,-67.438297,-38.069547
442,133.524509,-64.35613,-37.72682
443,136.423879,-64.375271,-35.413115
444,136.395693,-66.875288,-37.572912
445,138.933909,-64.099385,-41.670621
446,141.119144,-66.731024,-45.344035
447,141.453939,-65.913074,-45.730794
448,141.483539,-65.570006,-45.731863
449,142.136188,-65.747297,-44.134555
450,143.427502,-65.283916,-46.239175
451,143.099064,-65.547285,-45.623797
452,143.750609,-66.646309,-41.136806
453,144.010837,-66.023323,-39.157916
454,144.632882,-66.631937,-39.326149
455,145.550571,-66.454855,-39.457852
456,145.446259,-66.881701,-34.862323
457,145.815223,-68.215124,-35.334446
458,146.040955,-68.540917,-33.806276
459,146.439628,-65.72934,-33.35155
460,146.279723,-66.204761,-35.483639
461,150.574294,-66.170523,-35.055159
462,148.553336,-65.439106,-37.496341
463,149.608607,-65.724831,-39.496104
464,149.598571,-62.718718,-43.396993
