episode,epsilon=1.0,epsilon=0.8,epsilon=0.5
262,133.188178,93.210967,76.801442
263,134.389279,94.40085,79.325532
264,132.431515,92.567822,81.66975
265,132.894221,90.741134,84.588028
266,133.358225,93.715435,87.442291
267,134.162529,96.843786,89.314914
268,134.280588,97.457131,91.494236
269,135.106296,100.583178,91.606872
270,134.822799,98.823267,93.540001
271,134.571868,99.465883,95.879813
272,134.698303,97.898787,96.466057
273,134.454672,97.819754,96.423368
274,134.90609,98.820758,99.336996
275,135.089556,99.159657,99.145812
276,135.091387,97.497788,100.911167
277,135.26751,97.432716,103.991824
278,137.43706,95.018715,104.256567
279,137.182724,93.51269,105.989588
280,135.689102,94.053353,108.354541
281,136.266119,92.187952,108.606
282,136.208974,94.108776,111.309702
283,136.460044,93.977137,113.571536
284,136.702038,93.926105,113.699091
285,136.621484,92.129153,111.897949
286,136.862379,89.73502,113.481617
287,138.908373,88.012851,113.592633
288,139.040882,85.069045,113.922253
289,141.095997,85.364887,116.271425
290,138.891656,85.335765,118.018424
291,139.1074,88.204236,121.24119
292,139.26377,86.102622,123.942841
293,137.417353,84.068003,123.384068
294,137.95366,81.5323,126.101228
295,140.274509,83.066207,126.51058
296,140.576586,81.136908,125.335403
297,141.254515,81.556715,124.824094
298,141.560209,78.944068,122.393176
299,142.42614,79.011195,121.532602
300,142.893594,79.050427,120.879987
301,140.757258,76.023948,123.06077
302,140.390322,73.222876,122.422672
303,140.725458,70.698487,122.377301
304,140.95112,67.018765,125.047077
305,140.793579,64.891231,124.681074
306,140.304725,61.578653,121.928905
307,142.347915,64.201856,123.96976
308,142.526022,61.622367,122.798767
309,143.284145,59.05092,122.330938
310,145.457957,55.756639,124.126393
311,147.371228,53.452077,124.077426
312,150.339942,53.305337,127.039939
313,150.464377,53.017958,127.414819
314,152.410265,50.848805,124.72145
315,152.504593,50.918214,122.801938
316,154.581212,50.152052,120.586186
317,154.254668,47.470517,122.61339
318,156.64633,44.619583,124.573461
319,158.705037,45.820928,124.597207
320,161.312686,43.130329,125.190127
321,161.394819,45.555677,124.329277
322,161.535493,42.601562,124.58301
323,163.966129,42.014269,124.650758
324,163.885771,40.091899,124.72574
325,164.112107,37.944576,122.719236
326,166.326801,36.159461,123.008541
327,168.165975,34.365199,123.644109
328,170.846595,31.778383,123.749414
329,173.091037,31.662703,123.82384
330,173.311272,29.605605,124.182485
331,173.578779,29.316199,124.392081
332,173.27867,27.466864,124.398055
333,173.343282,25.776633,124.938425
334,173.366801,24.589978,125.357159
335,175.531873,24.85392,125.171579
336,175.338581,22.972967,125.820464
337,172.716997,20.901962,126.016489
338,172.922364,20.558726,127.216069
339,172.011951,19.960187,129.994264
340,171.675535,21.638087,132.195929
341,172.056586,22.825446,129.826397
342,169.34263,23.462103,132.404267
343,169.445498,23.757978,132.645287
344,167.03363,21.611561,135.935121
345,165.13008,22.187627,136.215528
346,165.318455,20.228826,139.039019
347,165.540721,20.197289,139.514369
348,165.082513,21.374174,141.495908
349,163.594549,22.424922,141.827997
350,163.823426,23.619455,142.024631
351,163.108795,26.810236,142.432539
352,164.063153,24.747629,144.739066
353,163.616992,25.789698,146.5422
354,162.996631,26.324933,146.339982
355,163.206764,25.859778,146.568192
356,162.980057,23.996634,148.806248
357,163.060001,22.686105,148.926324
358,162.75153,22.276576,148.551673
359,162.855068,19.477988,149.622802
360,157.985456,17.550783,149.301098
361,158.530344,15.996556,150.253388
362,157.970525,14.109002,150.982231
363,157.817763,14.236244,151.112498
364,157.737832,13.503161,152.09285
365,159.99879,15.258973,150.78321
366,159.943826,16.520165,150.136625
367,159.687212,15.494879,150.133704
368,159.674206,15.595061,148.50434
369,159.802378,15.241195,148.595521
370,159.378946,14.563611,149.464926
371,157.755276,16.991638,150.246613
372,157.652868,19.800855,149.941249
373,157.47252,22.244344,148.900477
374,153.41677,21.702213,147.544803
375,153.551961,21.675465,142.031598
376,149.067375,21.925744,139.807562
377,146.256201,24.46418,137.092119
378,146.399753,26.926425,135.436587
379,146.433018,29.560015,135.077257
380,146.844593,32.119562,134.701083
381,148.258836,34.697339,132.405144
382,148.034996,36.189175,130.211215
383,146.325602,34.34654,127.983536
384,146.457333,33.836337,126.14359
385,148.539134,33.64271,123.518805
386,148.704541,36.254717,122.81338
387,148.626375,38.720467,120.38658
388,148.857038,41.356521,119.599171
389,150.697758,42.010672,117.18957
390,150.79924,41.909145,115.404489
391,153.048151,43.95807,113.428334
392,153.326152,43.832281,112.861941
393,152.99619,44.179118,110.245191
394,154.628386,46.049484,108.272625
395,154.221068,48.834163,106.623167
396,150.127502,51.570679,104.318108
397,150.06189,53.543888,103.689167
398,149.950165,54.924706,101.929362
399,150.243938,57.263745,101.761917
400,148.302706,60.490657,100.234396
401,148.376243,62.644324,98.960272
402,150.735548,64.908077,96.934502
403,147.660087,67.761105,95.014001
404,147.963104,71.019078,92.760963
405,148.050417,74.813514,92.832128
406,148.16393,77.535322,92.435333
407,148.519967,80.533868,92.780796
408,148.582394,79.812364,90.958998
409,150.816823,82.776859,91.16218
410,150.499014,85.392835,89.466528
411,149.65815,87.086525,87.702729
412,150.11878,86.896781,85.469782
413,149.712621,86.714158,83.134938
414,151.710101,87.281142,80.626256
415,151.866286,87.54309,80.525529
416,150.769476,87.232548,79.906625
417,151.070475,86.832641,79.547115
418,151.83088,89.58026,77.508807
419,151.818954,92.212542,74.969868
420,149.966833,93.107404,75.050206
421,149.649322,96.144586,74.575261
422,147.663712,95.751217,73.474364
423,147.811843,98.090958,73.6557
424,147.51993,100.365597,71.40542
425,149.841534,99.906814,72.149807
426,150.119358,101.173259,73.527379
427,150.324742,103.521265,74.107181
428,149.833098,106.501885,73.392539
429,145.785566,108.95851,73.439713
430,145.114505,108.58052,70.983198
431,145.278259,110.309993,67.992939
432,145.346242,110.460469,67.684196
433,141.605869,111.677805,65.561258
434,137.856434,114.316916,65.081391
435,136.746569,116.189225,64.464453
436,136.441244,118.047017,64.152387
437,133.136541,120.02116,63.311252
438,135.978814,120.137573,62.27322
439,135.713519,122.443983,61.577877
440,133.413967,125.512048,60.711295
441,133.610117,125.846924,59.121575
442,133.524509,124.291291,61.595519
443,136.423879,125.008717,59.235111
444,136.395693,124.572032,58.604417
445,138.933909,126.148459,57.771239
446,141.119144,126.369733,56.787596
447,141.453939,127.820896,54.602092
448,141.483539,128.279638,52.373582
449,142.136188,129.749178,50.386429
450,143.427502,128.484994,50.083586
451,143.099064,127.830466,50.104973
452,143.750609,125.070912,49.859202
453,144.010837,127.475319,49.914652
454,144.632882,127.062221,50.536726
455,145.550571,126.786807,50.80938
456,145.446259,127.074583,51.048445
457,145.815223,129.809794,48.607331
458,146.040955,131.29255,48.355437
459,146.439628,131.64208,51.179707
460,146.279723,133.314513,50.953536
461,150.574294,132.434922,50.692822
462,148.553336,134.607757,50.696851
463,149.608607,137.308864,50.609089
464,149.598571,137.498687,48.96207
465,149.328025,135.357053,48.259901
466,146.885837,133.546183,49.585411
467,144.701552,134.512992,47.385561
468,145.151054,134.725776,47.205704
469,144.864127,135.232655,49.254218
470,144.216761,135.508569,47.538621
471,144.853059,132.939512,48.455278
472,146.45382,132.267368,45.571912
473,144.564319,131.248793,46.365847
474,144.549782,131.088296,45.415671
475,148.953785,131.478889,47.06166
476,149.046656,129.404152,49.047306
477,153.632025,129.806434,51.593015
478,155.958034,127.209702,51.964336
479,156.296879,124.969233,50.681479
480,155.743456,123.304232,48.086698
481,155.635743,119.978829,45.301332
482,156.378468,117.241537,44.750848
483,156.283114,116.078866,43.723209
484,158.140625,117.734174,43.11686
485,155.988284,117.836335,45.629062
486,155.480101,120.747402,45.659566
487,155.064757,117.637734,47.977297
488,152.677811,115.793252,47.496026
489,152.895478,114.256136,47.486529
490,152.986517,114.851679,46.68225
491,150.659679,112.885615,46.177917
492,148.711099,113.571518,47.714472
493,146.05244,114.054031,47.069909
494,146.245855,114.863964,49.038355
495,146.035103,114.817041,50.1613
496,146.565995,112.937399,49.486959
497,148.261345,111.424469,49.621787
498,146.032853,109.477293,49.335126
499,143.885769,106.960029,51.960643
500,143.948268,107.115311,54.423133
501,145.994662,107.143053,56.444472
502,145.872367,105.548135,56.013213
503,145.750942,103.964677,55.641073
504,146.6061,104.66099,55.533416
505,146.123512,101.839712,58.244707
506,143.790756,99.32621,55.861006
507,141.640598,96.642185,54.119154
508,141.672873,94.629812,53.779274
509,140.385593,93.335747,53.236849
510,140.16076,91.448709,53.592608
511,140.43169,91.195896,56.334268
512,141.173008,92.024393,56.607993
513,139.380915,95.150731,57.756687
514,139.731665,93.035479,59.735594
515,139.575773,92.448535,61.575075
516,137.141604,94.655079,61.415709
517,136.309196,97.024719,63.673184
518,132.986454,94.616747,66.403948
519,133.99427,92.497152,68.464625
520,132.183538,91.363029,70.904507
521,131.236588,89.007105,68.585435
522,131.577714,85.746815,66.521793
523,131.499985,83.304135,66.589792
524,131.270367,82.972769,66.439117
525,131.537264,80.550834,67.918331
526,130.6467,82.589743,67.284775
527,130.757225,81.137668,68.096465
528,130.685556,77.845273,67.385458
529,129.594976,77.355741,67.721121
530,133.701676,75.567128,68.163245
531,134.730805,73.878258,68.093775
532,134.038173,71.548312,70.968474
533,133.655829,69.30107,71.234345
534,135.345677,67.269947,72.583154
535,138.911692,64.896772,72.948521
536,140.160433,62.433,73.497735
537,140.066347,60.355795,72.934554
538,141.385719,58.431833,73.504503
539,141.508271,58.523008,74.326982
540,141.344387,56.552863,74.865022
541,142.608719,53.831602,75.771091
542,142.177731,51.624622,77.852873
543,139.485667,52.695831,77.035043
544,139.080151,50.135891,79.216968
545,139.078293,47.869107,80.0681
546,139.077724,46.129168,80.743769
547,136.483992,43.512485,79.080164
548,136.00897,41.860803,79.089902
549,135.752014,41.088587,81.2357
550,135.015879,38.976656,84.062388
551,132.300843,37.641672,81.729876
552,130.361344,35.345848,82.335577
553,130.286005,35.502671,82.795418
554,129.697408,33.74252,81.175941
555,129.502169,33.262979,80.814987
556,126.664084,30.714918,80.868646
557,126.916428,32.82206,81.058448
558,126.181796,30.794128,83.445944
559,125.680414,28.146041,83.450454
560,125.017486,29.905755,82.873514
561,122.316976,30.532851,82.452412
562,120.202429,33.507716,83.002265
563,122.179111,33.268078,82.70618
564,119.075449,30.240497,82.950069
565,118.469952,29.885136,84.902259
566,118.170006,29.951379,85.724216
567,118.431203,31.868165,86.453158
568,119.515631,31.167568,89.54186
569,116.398733,29.798462,89.686393
570,116.65015,29.49192,89.642262
571,114.401138,29.750755,91.474968
572,112.034141,32.768107,92.725496
573,112.040068,32.617047,93.347829
574,114.026567,33.433012,93.384291
575,113.92388,31.522967,94.85487
576,110.422989,31.255811,97.27585
577,110.278354,30.827658,100.533449
578,110.016888,28.165475,99.706352
579,109.949118,29.892396,101.849132
580,106.745576,31.42584,104.421651
581,103.97264,32.122321,107.661502
582,101.820147,34.345819,110.708158
583,101.146573,36.968301,113.301742
584,101.345188,36.636484,116.585604
585,100.611848,37.229426,119.269055
586,100.961654,38.828138,119.787474
587,101.655937,36.201033,122.979845
588,101.739864,36.494171,121.068917
589,101.485369,37.806389,123.995112
590,100.595959,39.241719,124.568563
591,98.271389,39.030884,127.410064
592,100.011567,40.785384,130.479176
593,102.033396,41.015376,131.576945
594,104.027716,40.827474,132.943672
595,103.429451,41.702226,133.429766
596,103.596899,41.230406,135.137876
597,103.273575,43.754769,135.733836
598,102.961987,44.773446,135.887058
599,104.975805,47.253107,138.212107
600,106.986479,48.453097,138.371293
601,106.854354,48.887983,138.138441
602,106.206782,47.68694,138.766373
603,103.118623,49.348277,141.087529
